representation,prompt_group,pooling_rule,layer,transformation,interaction_order,energy
activation,ipip_stems,final_token,13,common_pc1_removed,4,0.37466871262306195
activation,ipip_stems,final_token,13,common_pc1_removed,5,0.06953430446355359
activation,ipip_stems,final_token,13,exposure_residualized,0,8.212326152526374e-28
activation,ipip_stems,final_token,13,exposure_residualized,1,0.32600728265326845
activation,ipip_stems,final_token,13,exposure_residualized,2,0.648796445700201
activation,ipip_stems,final_token,13,exposure_residualized,3,0.7056520903231421
activation,ipip_stems,final_token,13,exposure_residualized,4,0.33228322670907157
activation,ipip_stems,final_token,13,exposure_residualized,5,0.06800526212098942
activation,ipip_stems,final_token,13,profile_centered,0,0.0
activation,ipip_stems,final_token,13,profile_centered,1,0.6118282225891692
activation,ipip_stems,final_token,13,profile_centered,2,0.8712771720619001
activation,ipip_stems,final_token,13,profile_centered,3,0.8450415529968478
activation,ipip_stems,final_token,13,profile_centered,4,0.3873972406383615
activation,ipip_stems,final_token,13,profile_centered,5,0.07166485455990779
activation,ipip_stems,final_token,13,raw,0,12.173558988712088
activation,ipip_stems,final_token,13,raw,1,0.6118282225891692
